pipeline,dimension,series,auc
ws,On/Off-Task,Full_Shuffled,0.4929521072796935
ws,On/Off-Task,Full_Shuffled,0.5265057471264367
ws,On/Off-Task,Full_Shuffled,0.4786494252873562
ws,On/Off-Task,Full_Shuffled,0.5135842911877395
ws,On/Off-Task,Full_Shuffled,0.4685498084291187
ws,On/Off-Task,Full_Shuffled,0.5178103448275861
ws,On/Off-Task,Full_Shuffled,0.4911168582375479
ws,On/Off-Task,Full_Shuffled,0.4993716475095786
ws,On/Off-Task,Full_Shuffled,0.5437145593869732
ws,On/Off-Task,Full_Shuffled,0.5222183908045978
ws,On/Off-Task,Full_Shuffled,0.476295019157088
ws,On/Off-Task,Full_Shuffled,0.5007413793103449
ws,On/Off-Task,Full_Shuffled,0.5127777777777778
ws,On/Off-Task,Full_Shuffled,0.5001915708812261
ws,On/Off-Task,Full_Shuffled,0.4994233716475095
ws,On/Off-Task,Full_Shuffled,0.5018314176245211
ws,On/Off-Task,Full_Shuffled,0.5207988505747125
ws,On/Off-Task,Full_Shuffled,0.4844904214559387
ws,On/Off-Task,Full_Shuffled,0.4920306513409962
ws,On/Off-Task,Full_Shuffled,0.4907145593869732
ws,On/Off-Task,Full_Shuffled,0.497360153256705
ws,On/Off-Task,Full_Shuffled,0.4881149425287356
ws,On/Off-Task,Full_Shuffled,0.4886360153256704
ws,On/Off-Task,Full_Shuffled,0.4973352490421455
ws,On/Off-Task,Full_Shuffled,0.4927739463601532
ws,On/Off-Task,Full_Shuffled,0.4923812260536397
ws,On/Off-Task,Full_Shuffled,0.5429425287356322
ws,On/Off-Task,Full_Shuffled,0.4806398467432951
ws,On/Off-Task,Full_Shuffled,0.4953639846743294
ws,On/Off-Task,Full_Shuffled,0.5049176245210728
ws,On/Off-Task,Full_Shuffled,0.4957413793103448
ws,On/Off-Task,Full_Shuffled,0.5024501915708811
ws,On/Off-Task,Full_Shuffled,0.4691494252873563
ws,On/Off-Task,Full_Shuffled,0.4948716475095786
ws,On/Off-Task,Full_Shuffled,0.4877126436781609
ws,On/Off-Task,Full_Shuffled,0.4942145593869731
ws,On/Off-Task,Full_Shuffled,0.4799099616858238
ws,On/Off-Task,Full_Shuffled,0.4878333333333334
ws,On/Off-Task,Full_Shuffled,0.4634348659003831
ws,On/Off-Task,Full_Shuffled,0.5430210727969349
ws,On/Off-Task,Full_Shuffled,0.5011704980842913
ws,On/Off-Task,Full_Shuffled,0.4828639846743294
ws,On/Off-Task,Full_Shuffled,0.5566206896551724
ws,On/Off-Task,Full_Shuffled,0.5063007662835249
ws,On/Off-Task,Full_Shuffled,0.5258716475095786
ws,On/Off-Task,Full_Shuffled,0.504212643678161
ws,On/Off-Task,Full_Shuffled,0.5230057471264368
ws,On/Off-Task,Full_Shuffled,0.462455938697318
ws,On/Off-Task,Full_Shuffled,0.4692701149425287
ws,On/Off-Task,Full_Shuffled,0.5470191570881225
ws,On/Off-Task,Full_Shuffled,0.5200555555555555
ws,On/Off-Task,Full_Shuffled,0.4850268199233715
ws,On/Off-Task,Full_Shuffled,0.4955095785440613
ws,On/Off-Task,Full_Shuffled,0.5262567049808429
ws,On/Off-Task,Full_Shuffled,0.4944482758620689
ws,On/Off-Task,Full_Shuffled,0.4788390804597701
ws,On/Off-Task,Full_Shuffled,0.5065977011494254
ws,On/Off-Task,Full_Shuffled,0.5042681992337164
ws,On/Off-Task,Full_Shuffled,0.4528007662835249
ws,On/Off-Task,Full_Shuffled,0.5194348659003831
ws,On/Off-Task,Full_Shuffled,0.4988409961685824
ws,On/Off-Task,Full_Shuffled,0.5171819923371648
ws,On/Off-Task,Full_Shuffled,0.5014808429118773
ws,On/Off-Task,Full_Shuffled,0.477978927203065
ws,On/Off-Task,Full_Shuffled,0.4690727969348659
ws,On/Off-Task,Full_Shuffled,0.5202662835249042
ws,On/Off-Task,Full_Shuffled,0.5425555555555556
ws,On/Off-Task,Full_Shuffled,0.5149597701149425
ws,On/Off-Task,Full_Shuffled,0.4809904214559387
ws,On/Off-Task,Full_Shuffled,0.4469961685823755
ws,On/Off-Task,Full_Shuffled,0.5166513409961687
ws,On/Off-Task,Full_Shuffled,0.4887643678160919
ws,On/Off-Task,Full_Shuffled,0.5131743295019158
ws,On/Off-Task,Full_Shuffled,0.4990268199233715
ws,On/Off-Task,Full_Shuffled,0.4968984674329502
ws,On/Off-Task,Full_Shuffled,0.4825632183908046
ws,On/Off-Task,Full_Shuffled,0.5203007662835248
ws,On/Off-Task,Full_Shuffled,0.4807107279693486
ws,On/Off-Task,Full_Shuffled,0.5375727969348659
ws,On/Off-Task,Full_Shuffled,0.4829406130268198
ws,On/Off-Task,Full_Shuffled,0.478904214559387
ws,On/Off-Task,Full_Shuffled,0.5141226053639847
ws,On/Off-Task,Full_Shuffled,0.513155172413793
ws,On/Off-Task,Full_Shuffled,0.5118295019157089
ws,On/Off-Task,Full_Shuffled,0.4611206896551724
ws,On/Off-Task,Full_Shuffled,0.5075172413793103
ws,On/Off-Task,Full_Shuffled,0.4942088122605364
ws,On/Off-Task,Full_Shuffled,0.4548275862068967
ws,On/Off-Task,Full_Shuffled,0.5214655172413792
ws,On/Off-Task,Full_Shuffled,0.481603448275862
ws,On/Off-Task,Full_Shuffled,0.5447318007662835
ws,On/Off-Task,Full_Shuffled,0.5255249042145593
ws,On/Off-Task,Full_Shuffled,0.5287720306513409
ws,On/Off-Task,Full_Shuffled,0.4799750957854407
ws,On/Off-Task,Full_Shuffled,0.5090842911877395
ws,On/Off-Task,Full_Shuffled,0.4719444444444444
ws,On/Off-Task,Full_Shuffled,0.5668333333333334
ws,On/Off-Task,Full_Shuffled,0.4803850574712643
ws,On/Off-Task,Full_Shuffled,0.5516245210727968
ws,On/Off-Task,Full_Shuffled,0.482375478927203
ws,On/Off-Task,Full_Shuffled,0.4410900383141763
ws,On/Off-Task,Full_Shuffled,0.5076992337164752
ws,On/Off-Task,Full_Shuffled,0.4859808429118775
ws,On/Off-Task,Full_Shuffled,0.5067624521072797
ws,On/Off-Task,Full_Shuffled,0.4679846743295018
ws,On/Off-Task,Full_Shuffled,0.5215862068965518
ws,On/Off-Task,Full_Shuffled,0.503264367816092
ws,On/Off-Task,Full_Shuffled,0.4437222222222222
ws,On/Off-Task,Full_Shuffled,0.5141992337164751
ws,On/Off-Task,Full_Shuffled,0.4818678160919539
ws,On/Off-Task,Full_Shuffled,0.5091743295019158
ws,On/Off-Task,Full_Shuffled,0.5498927203065135
ws,On/Off-Task,Full_Shuffled,0.4522758620689655
ws,On/Off-Task,Full_Shuffled,0.4604885057471264
ws,On/Off-Task,Full_Shuffled,0.5127164750957853
ws,On/Off-Task,Full_Shuffled,0.4827413793103449
ws,On/Off-Task,Full_Shuffled,0.4714463601532567
ws,On/Off-Task,Full_Shuffled,0.5422509578544061
ws,On/Off-Task,Full_Shuffled,0.5156954022988505
ws,On/Off-Task,Full_Shuffled,0.4908735632183909
ws,On/Off-Task,Full_Shuffled,0.4926417624521073
ws,On/Off-Task,Full_Shuffled,0.5080268199233716
ws,On/Off-Task,Full_Shuffled,0.4778026819923371
ws,On/Off-Task,Full_Shuffled,0.508896551724138
ws,On/Off-Task,Full_Shuffled,0.5156436781609196
ws,On/Off-Task,Full_Shuffled,0.4874578544061302
