subject_id,group,pc,condition,baseline_score,experimental_score,change_score
40,Controls,PC3,exclusion,-0.35135009974009557,0.7477196619522002,1.0990697616922958
41,Controls,PC1,inclusion,0.005145473275442262,-0.07452423206160522,-0.07966970533704748
41,Controls,PC1,exclusion,0.005145473275442262,0.04716554399584178,0.04202007072039952
41,Controls,PC2,inclusion,0.07339073238111417,0.09523446387998753,0.021843731498873364
41,Controls,PC2,exclusion,0.07339073238111417,0.08883777201058257,0.015447039629468404
41,Controls,PC3,inclusion,0.07209182570635782,-0.01169728748229546,-0.08378911318865327
41,Controls,PC3,exclusion,0.07209182570635782,-0.17251949511798353,-0.24461132082434134
42,Controls,PC1,inclusion,0.05174189018272847,-0.018791913969241285,-0.07053380415196975
42,Controls,PC1,exclusion,0.05174189018272847,-0.3581050676426166,-0.4098469578253451
42,Controls,PC2,inclusion,0.07042663736847792,-0.1358150117653445,-0.20624164913382242
42,Controls,PC2,exclusion,0.07042663736847792,0.15834421264091683,0.08791757527243892
42,Controls,PC3,inclusion,-0.03177597702319454,-0.1713029424449017,-0.13952696542170717
42,Controls,PC3,exclusion,-0.03177597702319454,-0.248695894935495,-0.21691991791230045
43,Controls,PC1,inclusion,0.9682660421112608,0.5405803025422506,-0.4276857395690101
43,Controls,PC1,exclusion,0.9682660421112608,0.5554264278532207,-0.41283961425804006
43,Controls,PC2,inclusion,-1.1140501817951978,0.3550838317209982,1.469134013516196
43,Controls,PC2,exclusion,-1.1140501817951978,-2.7560347199232895,-1.6419845381280918
43,Controls,PC3,inclusion,1.0714310069872288,0.3650509542731971,-0.7063800527140317
43,Controls,PC3,exclusion,1.0714310069872288,1.1465211060692766,0.07509009908204778
