contrast,label,marker,rho_across_subjects,p_across_subjects,mean_share_ws,mean_share_loso,mean_direction_ws,mean_direction_loso,sign_concordance,p_sign_concordance,n_rois,n_comparable_subjects,n_subjects,p_across_subjects_fdr,p_sign_concordance_fdr
confidence,Confidence,PE_alpha,-0.2816205533596838,0.9024097590240976,0.051288253589717336,0.06785453325720042,0.2501653353196796,0.6652772533927783,0.7727272727272727,0.01690053939819336,9,22,23,0.997000299970003,0.09717810153961182
confidence,Confidence,PE_beta,-0.21640316205533597,0.8406159384061593,0.0470517919582365,0.043816105043386434,0.17462333535605967,0.5663118747243173,0.6818181818181818,0.13380050659179688,9,22,23,0.997000299970003,0.34193462795681423
confidence,Confidence,PE_gamma,-0.18873517786561267,0.80991900809919,0.04846214223646505,0.04990319413908156,0.16518210656482846,0.594697474472447,0.5909090909090909,0.5234670639038086,9,22,23,0.997000299970003,0.7524839043617249
confidence,Confidence,PE_theta,-0.2065217391304348,0.8291170882911709,0.03988211499593804,0.04066809029735548,-0.13258356203878296,-0.5578378667076824,0.5652173913043478,0.6776394844055176,9,23,23,0.997000299970003,0.8658726745181613
confidence,Confidence,kolmogorov_complexity,0.11758893280632411,0.29787021297870214,0.04774724804393097,0.0486474942007134,0.18371824607920592,0.5966355310297415,0.6521739130434783,0.21003961563110352,9,23,23,0.997000299970003,0.4391737417741255
confidence,Confidence,psd_relative_alpha,-0.38241106719367585,0.9627037296270373,0.04205067672402109,0.047431477945572925,-0.1595590509130253,-0.5848111768276124,0.6086956521739131,0.4048728942871094,9,23,23,0.997000299970003,0.7163135822002705
confidence,Confidence,psd_relative_beta,-0.4940711462450593,0.9908009199080092,0.04842784275280821,0.04444394427422832,0.19739878263868268,0.25228621789153544,0.6086956521739131,0.4048728942871094,9,23,23,0.997000299970003,0.7163135822002705
confidence,Confidence,psd_relative_delta,-0.009881422924901188,0.5221477852214779,0.04081079683862658,0.04629832907779167,-0.12344902845589853,-0.630093942657371,0.6521739130434783,0.21003961563110352,9,23,23,0.997000299970003,0.4391737417741255
confidence,Confidence,psd_relative_gamma,-0.5602766798418972,0.997000299970003,0.056846538180026114,0.04304102272098056,0.10899605638013099,0.39228361474297246,0.5217391304347826,1.0,9,23,23,0.997000299970003,1.0
confidence,Confidence,psd_relative_theta,-0.11561264822134389,0.7039296070392961,0.04950834533651578,0.034359200989284334,0.07345895754565658,0.5378494890644414,0.45454545454545453,0.8318119049072266,9,22,23,0.997000299970003,0.8696215369484641
confidence,Confidence,slowwaves_Density,-0.47430830039525695,0.9879012098790121,0.05325096827119992,0.13158854052699537,-0.24456659210971066,-0.8999296524782098,0.6818181818181818,0.13380050659179688,9,22,23,0.997000299970003,0.34193462795681423
confidence,Confidence,slowwaves_Duration,0.3023715415019763,0.0806919308069193,0.03614713576004548,0.03137146522267043,-0.0573932581205505,-0.1132429814648024,0.4090909090909091,0.5234670639038086,9,22,23,0.6186381361863813,0.7524839043617249
confidence,Confidence,slowwaves_Frequency,0.4930830039525692,0.0100989901009899,0.036127468506784124,0.02782155019460859,0.017123762987835498,0.1522839198375664,0.4090909090909091,0.5234670639038086,9,22,23,0.23227677232276772,0.7524839043617249
confidence,Confidence,slowwaves_PTP,-0.0691699604743083,0.6207379262073792,0.03741738882045476,0.0373499977308169,-0.1686016309434311,-0.45359730093157175,0.782608695652174,0.010622024536132812,9,23,23,0.997000299970003,0.08143552144368489
confidence,Confidence,slowwaves_Slope,0.021739130434782608,0.45765423457654236,0.03917431646855545,0.025725570711311253,-0.07942114542337603,-0.5172990355703059,0.5652173913043478,0.6776394844055176,9,23,23,0.997000299970003,0.8658726745181613
confidence,Confidence,wsmi_alpha,-0.37055335968379455,0.9577042295770423,0.04416825199163701,0.03520048957196038,0.10705313047550764,0.5390923465337943,0.7272727272727273,0.052478790283203125,9,22,23,0.997000299970003,0.201168696085612
confidence,Confidence,wsmi_beta,-0.19466403162055337,0.8121187881211879,0.03674114546925007,0.026344295574886694,0.045878188419432434,0.11716906670331206,0.45454545454545453,0.8318119049072266,9,22,23,0.997000299970003,0.8696215369484641
confidence,Confidence,wsmi_gamma,-0.2806324110671937,0.8994100589941005,0.03677804980456519,0.02413308931824412,0.04931280597752717,0.01464150006732263,0.2727272727272727,0.052478790283203125,9,22,23,0.997000299970003,0.201168696085612
confidence,Confidence,wsmi_theta,0.007905138339920948,0.48555144485551444,0.03858073714534776,0.0822470869869548,0.22545504197166394,0.799467705615548,0.8260869565217391,0.002599477767944336,9,23,23,0.997000299970003,0.029893994331359863
