perm_idx,auc,balanced_accuracy,auprc
48,0.48611111111111116,0.41666666666666663,0.28595034624139315
49,0.5805555555555556,0.5666666666666667,0.3743159002172285
50,0.5194444444444445,0.45833333333333337,0.3151449607156129
51,0.32777777777777783,0.35833333333333334,0.22447786227248467
52,0.5194444444444445,0.43333333333333335,0.29642158801227875
53,0.4944444444444444,0.44999999999999996,0.2893864184406317
54,0.4083333333333333,0.39166666666666666,0.25642537313140557
55,0.525,0.55,0.47145056017007236
56,0.19166666666666665,0.3833333333333333,0.1976815518825527
57,0.3555555555555555,0.4083333333333333,0.24749869314544995
58,0.39444444444444443,0.43333333333333335,0.2618470656551152
59,0.30833333333333335,0.45,0.2198246568444674
60,0.18611111111111112,0.3,0.19330900554541883
61,0.5333333333333333,0.5166666666666666,0.3068135208777374
62,0.5972222222222222,0.55,0.43593596218596214
63,0.6138888888888889,0.5833333333333333,0.3618406285072952
64,0.6583333333333333,0.7,0.5605042054737176
65,0.38888888888888895,0.4833333333333333,0.26323059612533295
66,0.4388888888888889,0.43333333333333335,0.2711524901211211
67,0.4333333333333333,0.4083333333333333,0.2625948054347994
68,0.41944444444444445,0.45833333333333337,0.25642333562995034
69,0.4444444444444445,0.43333333333333335,0.2750976319550488
70,0.5555555555555556,0.6,0.5234630331474576
71,0.5750000000000001,0.5583333333333333,0.509169563108295
72,0.5,0.5666666666666667,0.3051192784874415
73,0.6444444444444444,0.6166666666666667,0.4718197563306259
74,0.36944444444444446,0.41666666666666663,0.27057581295911826
75,0.21388888888888885,0.2916666666666667,0.21456521642105814
76,0.4083333333333333,0.44166666666666665,0.26155918995960276
77,0.6666666666666667,0.575,0.4689202774507549
78,0.5888888888888889,0.6499999999999999,0.3413583805982723
79,0.37499999999999994,0.475,0.3437646185135425
80,0.475,0.4916666666666667,0.31502120774207687
81,0.4805555555555555,0.6,0.33118304857903136
82,0.5555555555555555,0.4833333333333333,0.38925230097263563
83,0.7000000000000001,0.5666666666666667,0.5813032513463549
84,0.32499999999999996,0.35833333333333334,0.2943196714805892
85,0.5138888888888888,0.4916666666666667,0.3925943219962037
86,0.12499999999999999,0.25833333333333336,0.18260667319311186
87,0.38333333333333336,0.43333333333333335,0.24386208341489096
88,0.38888888888888884,0.425,0.24223192988313957
89,0.5305555555555556,0.55,0.38075037707390647
90,0.2611111111111111,0.3416666666666667,0.2229837727799232
91,0.6333333333333333,0.5,0.4857560454543213
92,0.44722222222222224,0.425,0.3403682310299957
93,0.5416666666666667,0.475,0.33913674137634525
94,0.46666666666666673,0.39166666666666666,0.27935005740502344
95,0.29166666666666663,0.24166666666666667,0.21665339334551725
96,0.21944444444444444,0.275,0.19915726354157176
97,0.46111111111111114,0.5083333333333333,0.2835137707845866
98,0.5083333333333333,0.5416666666666666,0.3002915416645394
99,0.4305555555555556,0.475,0.27169303401320666
100,0.5305555555555556,0.575,0.3232935944505264
101,0.44444444444444453,0.45833333333333337,0.2804986260737534
102,0.5083333333333333,0.5083333333333333,0.28394196336266575
103,0.3833333333333333,0.5083333333333333,0.2481672665949916
104,0.4555555555555556,0.4916666666666667,0.2824256295274946
105,0.36388888888888893,0.48333333333333334,0.2636644809438927
106,0.18333333333333332,0.2916666666666667,0.1925182291342259
107,0.46666666666666656,0.55,0.30095991488254914
108,0.7722222222222221,0.675,0.6448704481792717
109,0.6527777777777778,0.6166666666666667,0.4034842391285336
110,0.2638888888888889,0.35833333333333334,0.2102309291485993
111,0.625,0.7,0.3680866068797103
112,0.5638888888888889,0.4916666666666667,0.3916597585564089
113,0.4,0.5666666666666667,0.2550575741498777
114,0.3055555555555556,0.3833333333333333,0.2258110961482554
115,0.5222222222222221,0.5666666666666667,0.44591452213403426
116,0.3111111111111111,0.4083333333333333,0.35746182369681573
117,0.5972222222222222,0.5916666666666667,0.5078326221418327
118,0.4666666666666667,0.4916666666666667,0.2982159040049809
119,0.3027777777777778,0.4083333333333333,0.23912063258612706
120,0.4,0.425,0.251942571885443
121,0.5638888888888889,0.4916666666666667,0.3189549929423642
122,0.7277777777777779,0.675,0.5109854997067641
123,0.24166666666666667,0.35833333333333334,0.23583829873203963
124,0.625,0.575,0.4028031544478913
125,0.6305555555555555,0.5166666666666666,0.5188880966784778
126,0.5222222222222221,0.475,0.3744069432459456
127,0.3527777777777778,0.36666666666666664,0.24474581215448676
128,0.3305555555555556,0.44999999999999996,0.24518343100820633
129,0.611111111111111,0.6,0.3669915151801809
130,0.35555555555555557,0.375,0.23761954139990552
131,0.5027777777777778,0.5083333333333333,0.29061846413820097
132,0.6194444444444445,0.55,0.5468521707814793
133,0.5833333333333334,0.5666666666666667,0.5073392157945349
134,0.5333333333333333,0.5,0.3221115507152111
135,0.5777777777777777,0.525,0.37417086589880705
136,0.6111111111111112,0.55,0.3923905445230309
137,0.39722222222222225,0.3666666666666667,0.2613588286684486
138,0.5388888888888889,0.44999999999999996,0.42183694035371205
139,0.5666666666666667,0.5083333333333333,0.4486869043119043
140,0.29166666666666663,0.4083333333333333,0.23096498066178486
141,0.6333333333333333,0.6,0.4202546296296296
142,0.44166666666666665,0.4916666666666667,0.2615821929287341
143,0.475,0.475,0.2960175649531347
144,0.6583333333333332,0.6333333333333333,0.5947811581479123
145,0.25555555555555554,0.31666666666666665,0.21567363156032643
146,0.28055555555555556,0.3833333333333333,0.2142395117858606
147,0.5305555555555554,0.55,0.40359828769381617
148,0.45555555555555555,0.5083333333333333,0.362968140820308
149,0.5750000000000001,0.5833333333333333,0.380119857053437
150,0.6611111111111112,0.6666666666666667,0.45898304602962775
151,0.5083333333333333,0.475,0.29295265870743614
152,0.7416666666666667,0.6,0.5400408857288148
153,0.5444444444444444,0.475,0.3213499590246414
154,0.4277777777777778,0.425,0.2532158147010297
155,0.4388888888888889,0.5166666666666666,0.29025485569603215
156,0.5888888888888889,0.525,0.435887010504017
157,0.6333333333333333,0.6416666666666666,0.463879693291458
158,0.48611111111111116,0.525,0.32914923266490903
159,0.5527777777777778,0.5333333333333333,0.39813695911841696
160,0.5583333333333333,0.5666666666666667,0.35551502051502054
161,0.6888888888888889,0.7166666666666667,0.5568344066327937
162,0.4111111111111111,0.5,0.2479833653546889
163,0.3388888888888889,0.475,0.26262700397809513
164,0.2888888888888889,0.35,0.24878345467616478
165,0.45,0.4833333333333333,0.27545988946851013
166,0.5,0.5833333333333333,0.4441430661443121
167,0.36111111111111116,0.44999999999999996,0.3041901153234206
168,0.3666666666666667,0.39999999999999997,0.26658128052138097
