valence,selfother,time,Cluster,subject_id,task,probe_number
94.0,89.0,70.0,1,18,Sart1,12.0
88.0,75.0,58.0,2,18,Sart1,13.0
96.0,64.0,82.0,1,18,Sart2,1.0
95.0,69.0,63.0,3,18,Sart2,2.0
97.0,62.0,75.0,1,18,Sart2,3.0
85.0,57.0,44.0,2,18,Sart2,4.0
93.0,66.0,75.0,1,18,Sart2,5.0
93.0,92.0,100.0,1,18,Sart2,6.0
66.0,97.0,1.0,2,18,Sart2,7.0
98.0,30.0,69.0,0,18,Sart2,8.0
97.0,21.0,85.0,0,18,Sart2,9.0
99.0,21.0,96.0,0,18,Sart2,10.0
95.0,72.0,70.0,1,18,Sart2,11.0
99.0,47.0,92.0,0,18,Sart2,12.0
96.0,40.0,86.0,0,18,Sart2,13.0
98.0,67.0,66.0,1,18,Sart2,14.0
78.0,80.0,94.0,2,18,Sart2,15.0
98.0,86.0,96.0,1,18,Sart3,1.0
98.0,99.0,40.0,3,18,Sart3,2.0
99.0,69.0,75.0,1,18,Sart3,3.0
98.0,77.0,49.0,3,18,Sart3,4.0
98.0,50.0,69.0,0,18,Sart3,5.0
100.0,79.0,47.0,3,18,Sart3,6.0
99.0,71.0,80.0,1,18,Sart3,7.0
93.0,79.0,52.0,3,18,Sart3,8.0
93.0,76.0,56.0,3,18,Sart3,9.0
100.0,59.0,42.0,3,18,Sart3,10.0
94.0,36.0,76.0,0,18,Sart3,11.0
86.0,80.0,81.0,2,18,Sart3,12.0
97.0,44.0,48.0,3,18,Sart3,13.0
96.0,79.0,73.0,1,18,Sart3,14.0
88.0,62.0,70.0,2,18,Sart3,15.0
100.0,38.0,75.0,0,18,Sart4,1.0
89.0,32.0,85.0,0,18,Sart4,2.0
99.0,23.0,78.0,0,18,Sart4,3.0
79.0,33.0,54.0,2,18,Sart4,4.0
89.0,44.0,55.0,2,18,Sart4,5.0
90.0,58.0,50.0,3,18,Sart4,6.0
96.0,67.0,87.0,1,18,Sart4,7.0
97.0,41.0,52.0,3,18,Sart4,8.0
94.0,47.0,47.0,3,18,Sart4,9.0
83.0,60.0,81.0,2,18,Sart4,10.0
88.0,95.0,64.0,1,18,Sart4,11.0
96.0,38.0,57.0,3,18,Sart4,12.0
88.0,58.0,54.0,2,18,Sart4,13.0
95.0,80.0,64.0,1,18,Sart4,14.0
97.0,77.0,83.0,1,18,Sart4,15.0
56.0,61.0,46.0,3,19,Sart1,1.0
63.0,58.0,49.0,1,19,Sart1,2.0
55.0,60.0,50.0,1,19,Sart1,3.0
56.0,63.0,51.0,1,19,Sart1,5.0
54.0,63.0,48.0,2,19,Sart1,8.0
